nohup: ignoring input
t=2025-10-29T04:40:49+0530 lvl=info msg="no configuration paths supplied"
t=2025-10-29T04:40:49+0530 lvl=info msg="using configuration at default config path" path=/home/nitesh/.config/ngrok/ngrok.yml
t=2025-10-29T04:40:49+0530 lvl=info msg="open config file" path=/home/nitesh/.config/ngrok/ngrok.yml err=nil
t=2025-10-29T04:40:49+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-10-29T04:40:49+0530 lvl=info msg="client session established" obj=tunnels.session
t=2025-10-29T04:40:49+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-10-29T04:40:50+0530 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:8080 url=https://fisher-damoda-pseudoprosperously.ngrok-free.dev
t=2025-10-29T04:42:41+0530 lvl=info msg="join connections" obj=join id=d06e1eb3921d l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:57319
t=2025-10-29T04:42:42+0530 lvl=info msg="join connections" obj=join id=bf1bacbcb49b l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:57319
t=2025-10-29T04:42:42+0530 lvl=info msg="join connections" obj=join id=3ba7ae463847 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:57319
t=2025-10-29T04:42:42+0530 lvl=info msg="join connections" obj=join id=481c63c6edaf l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:57319
t=2025-10-29T04:42:48+0530 lvl=info msg="join connections" obj=join id=1253745df13e l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:57319
t=2025-10-29T04:42:48+0530 lvl=info msg="join connections" obj=join id=c7e07f1d4b37 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:57319
t=2025-10-29T04:42:48+0530 lvl=info msg="join connections" obj=join id=8c6b2d7766a0 l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:57319
t=2025-10-29T04:42:48+0530 lvl=info msg="join connections" obj=join id=dbfd17ea46ac l=127.0.0.1:8080 r=[2401:4900:7c7d:cfad:9d9a:e04e:9fcf:18dc]:57319
